% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
46 +3.123022349e+05 +3.123022349e+05 +3.122916249e+05 +3.122916249e+05 +2.4260e+00 -4.3100e+00 -1.2521e-01 +5.3955e-01 +1.5008e+00 +1.3813e+00 +1.0478e+00 -2.2235e+00 +4.7773e+00 +2.5047e+00 +8.1326e-02 +1.6132e+00 -3.1781e+00 -2.9050e+00 -3.0631e+00 +1.9708e+00 +2.4260e+00 -2.7617e+00 -2.1874e-01 +4.1869e+00
114 +2.116993043e+05 +2.116993043e+05 +2.116886943e+05 +2.116886943e+05 -1.2681e+00 +5.0508e-01 +2.1718e+00 -2.6418e-01 -1.5358e+00 +4.4542e+00 +4.9598e+00 +3.6828e+00 +4.4994e-01 +4.2730e+00 +3.4780e+00 -1.9684e+00 -2.8061e-01 -1.9877e+00 -1.9201e+00 +2.1590e+00 +4.8474e-01 -4.3450e+00 +2.8644e+00 +4.5129e+00
% function evaluation | noise-free fitness - Fopt (-1.844000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.348107850e+06 +1.348107850e+06 +1.347923450e+06 +1.347923450e+06 -1.0486e+00 -7.7948e-03 -9.3288e-01 +3.7188e-01 -4.7669e+00 +3.1032e+00 +3.5295e-01 +1.7889e+00 +3.7479e-01 -3.8850e-01 -9.7517e-01 -3.3872e-01 -4.9960e+00 -1.1405e+00 -3.2084e+00 -2.2755e+00 -8.7931e-01 -4.0852e+00 +1.0902e+00 -3.7353e+00
9 +5.689496046e+05 +5.689496046e+05 +5.687652046e+05 +5.687652046e+05 +4.9759e+00 -3.2391e+00 -5.4977e-01 -3.9444e+00 -4.8963e-01 -3.6512e+00 +1.0641e+00 -1.1057e+00 +1.6845e+00 -3.5526e+00 -3.3540e-01 +3.6578e+00 +1.6360e+00 -2.6040e+00 +2.0614e+00 -3.9431e+00 +3.5251e+00 -4.2450e-01 +2.0312e+00 -8.7285e-01
% function evaluation | noise-free fitness - Fopt (-5.188000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.560310966e+06 +1.560310966e+06 +1.560259086e+06 +1.560259086e+06 -5.3185e-01 -6.0312e-01 -3.1137e+00 +2.1887e+00 +3.0910e+00 +4.2937e+00 -4.4986e+00 -1.8094e+00 -3.2056e+00 +4.5166e-01 -3.8695e+00 +2.2823e+00 +7.0545e-01 -9.5054e-01 -1.5260e+00 -3.0940e+00 +1.8361e+00 +1.7889e+00 -4.9011e+00 +2.4396e+00
4 +8.542252810e+05 +8.542252810e+05 +8.541734010e+05 +8.541734010e+05 -3.0410e+00 -4.0520e+00 +1.3523e+00 -9.2177e-01 +1.3048e+00 -3.2404e+00 +3.4603e-01 -4.6016e+00 +3.9816e+00 +2.2983e-01 +1.3599e+00 +4.0660e+00 +3.9948e+00 -2.8327e+00 +9.6300e-02 -3.7585e+00 +3.4019e-01 -1.6598e+00 -2.0552e+00 -4.2989e+00
45 +6.019288723e+05 +6.019288723e+05 +6.018769923e+05 +6.018769923e+05 -1.8102e+00 -4.8449e+00 +9.5568e-01 +2.1214e+00 +1.2069e+00 +3.0541e+00 +2.1871e+00 -4.8536e+00 +1.1080e+00 -3.8651e-01 +1.4056e+00 -3.7086e+00 -7.3417e-01 +3.2366e+00 -3.0043e-02 -4.7410e-01 -1.4409e+00 -1.3401e-01 -2.7117e+00 +7.7043e-01
% function evaluation | noise-free fitness - Fopt (6.980000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
