% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
103 +4.569944870e+02 +4.569944870e+02 +4.608144870e+02 +4.608144870e+02 +2.1683e+00 -1.1994e-01 +3.1727e+00 -4.1734e+00 -1.8476e+00 +3.2077e+00 +3.9459e+00 +2.4431e+00 +6.5076e-01 -2.3572e+00 +9.3998e-01 -2.9738e+00 -3.3455e+00 -1.8795e-01 +1.7862e-01 +1.5378e+00 -2.3338e+00 +1.0483e+00 -1.8679e+00 +2.9294e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.944115248e+03 +3.944115248e+03 +3.965865248e+03 +3.965865248e+03 -7.4219e-01 +3.4999e+00 +3.3262e+00 +2.1857e+00 +2.3423e-01 -1.9228e+00 -3.0482e+00 +2.5654e-01 +1.1544e+00 -4.2005e+00 +4.4909e+00 +4.6929e+00 +2.9881e-01 -3.0475e+00 -2.4746e+00 +4.9910e+00 -2.6598e+00 +4.6487e+00 +2.2186e-01 +1.3302e+00
3 +2.048941523e+03 +2.048941523e+03 +2.070691523e+03 +2.070691523e+03 -1.4551e+00 +4.2055e+00 -2.2660e+00 +3.7819e+00 +4.3285e+00 -6.1500e-02 -2.6691e+00 -3.5497e+00 -4.0885e+00 +4.7008e+00 -3.7732e+00 +3.1622e+00 +1.8494e+00 +4.7135e+00 -1.6894e+00 +4.5647e+00 -1.3478e+00 -3.0574e+00 +3.0914e+00 +1.5234e+00
15 +1.472015506e+03 +1.472015506e+03 +1.493765506e+03 +1.493765506e+03 +2.6181e+00 -2.5391e+00 -1.2226e+00 +1.4244e+00 -2.6327e+00 +3.8014e+00 +8.8604e-01 +2.3716e+00 +4.3941e+00 -2.5515e+00 +2.8771e+00 -5.6448e-01 +4.5814e+00 -4.5436e+00 +2.6026e+00 +2.0873e+00 -6.9543e-01 +3.2682e+00 -3.2735e+00 -1.0503e+00
20 +6.802964865e+02 +6.802964865e+02 +7.020464865e+02 +7.020464865e+02 +5.4125e-01 -3.6009e+00 -3.2788e-01 +1.7499e+00 -1.2273e+00 -4.5742e+00 +3.2709e+00 -3.8094e+00 +2.5139e-02 +3.5690e+00 -1.2040e+00 -6.1130e-01 +3.6731e+00 +2.9192e+00 -4.6463e+00 +2.8899e+00 +4.0562e+00 -1.2246e+00 -3.7621e+00 +3.0810e+00
148 +5.759852691e+02 +5.759852691e+02 +5.977352691e+02 +5.977352691e+02 +3.8214e+00 -3.9197e+00 -3.1240e+00 +4.3772e+00 +1.9341e+00 +4.7458e+00 -3.4272e+00 -4.9194e+00 +1.8540e+00 +3.4017e+00 +1.7729e+00 +3.4048e+00 -3.3877e+00 +2.4114e+00 +3.5934e+00 -2.9268e+00 -2.7088e+00 -4.7488e+00 -4.7539e+00 +2.9363e+00
% function evaluation | noise-free fitness - Fopt (6.479000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.322189504e+03 +1.322189504e+03 +1.386979504e+03 +1.386979504e+03 -1.4484e+00 +3.0233e+00 +7.2209e-01 -2.4424e+00 +4.5350e+00 -2.9129e+00 +1.5570e+00 +1.1283e+00 +2.1233e+00 +2.4420e+00 +3.4428e+00 -4.0480e+00 -2.9838e+00 +4.2580e+00 +4.4768e+00 -1.5183e+00 +2.9791e+00 +2.9331e+00 -1.1258e+00 +1.8655e+00
32 +9.981306633e+02 +9.981306633e+02 +1.062920663e+03 +1.062920663e+03 +3.4065e+00 -4.8125e+00 +2.7445e+00 +1.5267e+00 +1.1136e+00 -2.8828e+00 -2.3224e+00 -2.5581e+00 -4.0618e+00 +4.0587e-01 -1.7728e+00 -2.8349e+00 +3.3012e+00 +2.7340e-01 -1.4947e+00 -4.4623e+00 +2.3465e+00 +3.9883e+00 -3.4330e+00 -7.8000e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.127877416e+03 +1.127877416e+03 +1.278774158e+02 +1.278774158e+02 +4.5543e+00 +1.5603e+00 +3.9779e+00 +1.5719e+00 +4.8062e+00 +5.2315e-01 -1.2045e-01 -1.7320e+00 +1.5639e+00 -4.3260e-01 +1.5288e-01 -2.3362e+00 +3.0046e+00 -2.6755e-01 +4.6888e+00 +1.1467e+00 -2.7071e+00 +3.6102e+00 +1.1122e-01 +1.8566e+00
3 +7.300609938e+02 +7.300609938e+02 -2.699390062e+02 -2.699390062e+02 -6.6453e-01 -7.6162e-01 +3.5027e+00 -4.5419e+00 +1.7111e+00 -3.3622e+00 +5.5310e-01 +4.5483e-01 +2.4106e+00 -5.5644e-01 +2.5867e+00 -3.8964e+00 -1.3038e+00 -3.5991e+00 +1.8770e+00 -9.6954e-01 +3.8903e+00 +7.2893e-01 -1.6171e-02 -3.0794e+00
21 +5.288433442e+02 +5.288433442e+02 -4.711566558e+02 -4.711566558e+02 +1.5899e+00 -1.9054e+00 +1.1622e+00 -4.0941e+00 +3.1435e+00 +2.0879e+00 -2.3632e+00 +1.2334e+00 +3.8264e+00 -9.1867e-01 +2.1143e+00 -4.1472e+00 +2.7131e+00 +4.2654e+00 -3.3483e+00 +2.9444e+00 -9.4119e-01 -1.8626e+00 -4.8167e+00 +5.6492e-01
% function evaluation | noise-free fitness - Fopt (6.750100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.212117248e+03 +1.212117248e+03 +1.887127248e+03 +1.887127248e+03 -4.7113e+00 -6.6330e-01 +3.5758e+00 -2.4270e+00 -2.2291e+00 -1.5049e+00 -4.4998e+00 +1.5422e+00 -2.1106e+00 -1.4889e+00 -6.2760e-01 -7.6780e-01 +1.7828e+00 -5.3088e-01 +1.2572e+00 -3.8056e+00 +1.8728e-01 +4.6183e+00 +3.5443e+00 -1.3105e+00
71 +9.961764808e+02 +9.961764808e+02 +1.671186481e+03 +1.671186481e+03 -8.3098e-01 +5.3299e-01 -2.6977e+00 -8.6020e-01 +4.1556e+00 +1.3027e+00 +3.9192e+00 -2.7798e+00 -8.9346e-01 +1.3278e+00 -7.1526e-01 -6.6752e-01 +4.7816e+00 +2.4219e+00 +1.6727e+00 -1.2875e+00 -4.5786e+00 +8.4355e-01 +3.4536e+00 -3.9358e+00
79 +5.743600165e+02 +5.743600165e+02 +1.249370017e+03 +1.249370017e+03 +8.5547e-01 +1.3043e+00 -4.7349e+00 -1.3035e-02 +2.3841e+00 +3.7629e+00 +3.2545e+00 -1.6598e+00 -1.9375e-01 +1.2465e+00 +2.0293e+00 +1.7764e+00 -3.2370e+00 -4.3392e+00 +2.5069e+00 -9.6646e-01 -3.1064e-03 +2.6693e+00 +2.1532e-01 -2.7465e+00
% function evaluation | noise-free fitness - Fopt (-3.580600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.980460859e+03 +3.980460859e+03 +3.622400859e+03 +3.622400859e+03 -4.8526e+00 +3.6205e+00 -4.7932e+00 -4.2982e+00 +2.9559e+00 -4.3574e+00 -9.5822e-01 -1.3769e+00 -3.1396e+00 -1.5185e-01 +4.6615e+00 +7.2266e-01 +4.0016e+00 +4.6965e-01 -3.0499e+00 +4.8084e+00 +4.1581e+00 +2.3888e+00 -9.3160e-01 -3.2546e+00
3 +1.088496344e+03 +1.088496344e+03 +7.304363444e+02 +7.304363444e+02 -3.5593e+00 -1.1306e+00 +2.8623e+00 -2.4484e+00 -4.1793e+00 +1.9402e+00 +8.9052e-01 -6.7097e-01 +3.5549e+00 -9.7855e-01 +4.5826e+00 +4.4960e+00 +4.0138e+00 -2.4965e-01 -1.9382e+00 -1.0941e+00 -2.1346e+00 +1.9280e+00 -3.1177e+00 +2.8381e+00
39 +8.466471780e+02 +8.466471780e+02 +4.885871780e+02 +4.885871780e+02 -4.8995e-01 -1.4962e+00 +4.5631e+00 -2.8526e+00 -1.7274e+00 +1.6784e+00 +3.7853e+00 -1.1582e+00 +2.6350e+00 +2.1737e+00 +1.2633e+00 -2.5807e-02 +3.1051e+00 -3.3181e+00 +1.4607e+00 -3.4984e+00 +1.8980e+00 +1.3477e+00 -1.0467e+00 +2.3597e+00
51 +5.798230885e+02 +5.798230885e+02 +2.217630885e+02 +2.217630885e+02 -2.3269e+00 +2.3850e+00 +1.4736e+00 -2.0904e+00 -4.5853e+00 -4.1412e+00 -4.0729e+00 +4.1660e+00 +4.4003e+00 -4.6992e-01 +2.7094e-01 +2.7781e+00 -4.9157e+00 -4.1935e+00 +1.3347e+00 +3.2199e+00 -4.2664e+00 +1.2959e+00 -1.6132e+00 +9.1047e-01
% function evaluation | noise-free fitness - Fopt (-4.797000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.038634633e+03 +3.038634633e+03 +2.990664633e+03 +2.990664633e+03 -1.5022e+00 +3.2717e+00 +2.7506e+00 +3.5319e+00 +3.9373e+00 +4.9453e+00 +1.3270e+00 +4.1113e+00 +3.7645e+00 -4.4999e+00 +3.5188e+00 -4.6433e+00 +3.8401e+00 +2.5319e+00 -1.3276e-01 -3.1828e+00 +4.9154e+00 +1.1426e+00 +4.4940e+00 -1.9274e+00
2 +2.479610505e+03 +2.479610505e+03 +2.431640505e+03 +2.431640505e+03 -1.5847e-01 +4.9014e+00 -3.8451e+00 -1.9195e-01 -2.9482e+00 -3.3177e+00 -3.2165e-01 -2.5833e+00 +2.8104e+00 -1.0415e+00 -2.5611e+00 -1.9779e+00 -4.8463e+00 -4.0258e+00 +2.0964e-01 -2.8820e+00 -2.1941e+00 +3.0009e+00 +9.1621e-01 -1.6927e+00
3 +1.367666975e+03 +1.367666975e+03 +1.319696975e+03 +1.319696975e+03 -1.5880e+00 -4.2460e+00 -2.1670e+00 -3.9360e+00 +2.5561e+00 +1.6632e+00 +9.0908e-01 +5.9662e-01 +5.7290e-01 +1.2069e+00 +3.3831e+00 +3.3520e+00 -1.7859e+00 -2.5991e+00 +4.4364e+00 -1.5983e-01 -3.1078e+00 +4.8377e+00 -9.8065e-01 +4.1149e+00
4 +9.812613910e+02 +9.812613910e+02 +9.332913910e+02 +9.332913910e+02 +1.7958e+00 -3.1684e+00 -4.4192e+00 +2.3637e+00 -2.4005e+00 -4.0442e+00 +4.6091e+00 +3.6324e+00 +2.0595e+00 -3.5849e+00 -6.2939e-01 +2.3437e+00 -1.7939e+00 -1.0452e+00 -3.0945e-01 +1.7290e+00 +2.0667e+00 -3.9215e+00 -2.5693e+00 +4.9610e+00
95 +5.575574307e+02 +5.575574307e+02 +5.095874307e+02 +5.095874307e+02 +4.4733e+00 +4.7049e+00 -1.6608e+00 -1.7005e-01 -2.4104e+00 +9.2770e-01 +3.8395e+00 -2.0015e+00 +4.5791e+00 +3.4784e+00 -3.1385e+00 +3.9034e+00 +3.5516e+00 +2.1185e+00 +1.6198e+00 +3.3670e+00 -4.4527e+00 +1.2932e-01 +7.3845e-01 +2.3264e+00
% function evaluation | noise-free fitness - Fopt (-8.294100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.735199330e+03 +1.735199330e+03 +9.057893298e+02 +9.057893298e+02 +5.0404e-02 +3.0315e+00 -3.6658e+00 +3.5118e+00 +1.8588e+00 +8.9479e-01 -4.7283e+00 +1.2439e+00 -4.5710e+00 -1.5781e+00 -1.8399e+00 -4.8716e+00 -1.1612e+00 -1.4733e-01 +1.7785e+00 +4.7806e+00 +1.3561e+00 -9.7813e-01 -1.0049e+00 +3.9408e+00
2 +1.245671713e+03 +1.245671713e+03 +4.162617129e+02 +4.162617129e+02 +3.5730e+00 +4.8122e+00 +1.2697e+00 -3.4396e+00 -4.5127e+00 -1.1972e+00 +4.8902e+00 +2.9772e+00 -4.4769e-01 -3.9305e+00 +4.2073e+00 -4.9530e-02 +1.1915e+00 +4.2481e+00 +3.9214e+00 +2.1725e+00 +1.3561e+00 -3.6293e+00 -3.2763e+00 -4.5588e+00
19 +9.171618393e+02 +9.171618393e+02 +8.775183925e+01 +8.775183925e+01 -3.3028e+00 +3.1786e+00 +9.8946e-01 +9.4922e-01 -4.2274e+00 +3.2295e-01 +3.3369e+00 -1.6495e+00 -4.4895e+00 +2.4593e+00 +6.1489e-01 +8.2341e-01 -1.9851e+00 -4.0927e+00 +9.8848e-01 -6.2830e-01 +3.5570e+00 +2.7857e+00 -2.5584e+00 -1.2484e+00
112 +5.017113809e+02 +5.017113809e+02 -3.276986191e+02 -3.276986191e+02 -2.0296e+00 +2.1217e+00 +4.1682e+00 -1.1711e+00 +4.3784e+00 -5.6242e-01 -8.5661e-01 -1.6757e+00 +1.2590e+00 -2.6059e+00 +2.6753e+00 -3.2993e+00 +3.0240e-01 +3.6453e+00 -1.0911e+00 +4.8892e+00 -1.9954e+00 -3.9769e+00 -3.9171e+00 -6.7621e-01
% function evaluation | noise-free fitness - Fopt (5.681000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.627971106e+03 +1.627971106e+03 +1.684781106e+03 +1.684781106e+03 +3.0692e+00 +7.7126e-01 -9.7918e-01 +4.7105e+00 +2.0893e+00 -6.8481e-01 +4.4936e+00 -4.7352e+00 -1.0988e+00 -2.2827e+00 -7.0948e-01 +9.6039e-01 +3.6418e+00 -1.1944e+00 -4.5273e+00 +5.8113e-01 -1.2077e+00 -3.5983e+00 +2.6604e+00 -5.1170e-01
10 +1.460375353e+03 +1.460375353e+03 +1.517185353e+03 +1.517185353e+03 +3.5770e+00 +3.4390e+00 -3.3921e+00 -3.7602e+00 -9.6924e-01 +4.5400e+00 +1.1979e+00 +3.2705e+00 -2.2361e+00 +4.4277e+00 +1.7884e+00 +4.2845e+00 +1.3735e+00 -2.6612e+00 +1.3877e+00 -7.6780e-01 +4.2134e+00 +4.8070e+00 +3.6111e+00 +4.4167e+00
14 +9.732342573e+02 +9.732342573e+02 +1.030044257e+03 +1.030044257e+03 -3.7534e+00 +2.0309e+00 -1.7270e-01 -2.5188e+00 -2.5685e+00 -1.1141e+00 +4.7886e+00 +2.4897e+00 -1.9516e+00 +4.3062e-01 -8.1725e-01 -2.5563e-01 +1.5247e+00 -2.5760e+00 +3.7368e+00 +4.4293e+00 +4.1016e+00 +9.5222e-01 +3.8175e+00 +3.8876e+00
33 +5.520067704e+02 +5.520067704e+02 +6.088167704e+02 +6.088167704e+02 -3.7206e+00 -3.5974e+00 -1.9137e+00 -7.1712e-01 -2.3989e+00 -4.2017e+00 -4.1113e+00 -3.6909e+00 +1.7920e+00 -5.6833e-01 -4.1425e+00 +4.5125e-01 -9.9708e-01 +2.4644e+00 -1.7242e+00 +3.8311e-01 -1.6396e+00 -8.1594e-01 +2.8551e+00 +1.5694e+00
% function evaluation | noise-free fitness - Fopt (4.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.535806440e+03 +1.535806440e+03 +1.577896440e+03 +1.577896440e+03 -7.7327e-01 +2.8276e+00 +3.0935e+00 -3.4470e+00 +2.0579e+00 +3.5799e+00 +1.1869e-02 -1.4103e+00 -1.2008e+00 +1.2569e+00 -2.7995e+00 +2.5054e+00 -1.5353e+00 +4.7541e+00 +2.6614e+00 +1.9912e+00 +4.5037e+00 +2.7121e+00 +1.2494e+00 -8.2623e-01
5 +8.347293485e+02 +8.347293485e+02 +8.768193485e+02 +8.768193485e+02 -9.9536e-01 +3.7695e+00 +1.3820e+00 +1.0213e+00 +1.3975e-01 -1.7902e+00 +1.0563e+00 -5.9590e-01 +3.6624e+00 +4.5227e+00 -2.8112e+00 -7.8541e-01 +9.7490e-01 +2.3569e+00 -3.0979e+00 +3.9255e+00 -1.0993e+00 +3.2919e+00 +1.0416e+00 -4.7384e-01
131 +3.456546311e+02 +3.456546311e+02 +3.877446311e+02 +3.877446311e+02 +6.9265e-01 +2.5184e+00 -3.6104e+00 -6.4010e-01 -2.0511e+00 -2.2383e+00 +2.7724e+00 +2.7359e+00 -4.0581e+00 -1.5806e+00 -1.2461e+00 +4.1505e+00 -1.2875e+00 -2.5770e+00 +5.4988e-02 -1.0659e+00 -4.7896e-01 +4.1755e+00 +5.2554e-01 +2.0168e-01
% function evaluation | noise-free fitness - Fopt (4.579000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.444881873e+03 +4.444881873e+03 +4.490671873e+03 +4.490671873e+03 -1.4159e+00 +1.8881e+00 +1.8987e+00 -9.2447e-01 +1.2819e+00 -1.4480e+00 -1.6863e+00 +5.7663e-01 -3.6576e+00 +3.1284e+00 +4.8095e+00 -9.1550e-01 -4.0130e+00 +2.8627e+00 -9.0590e-01 +3.2495e+00 +3.7363e+00 +3.5202e+00 -2.5889e+00 -2.0365e+00
2 +1.272073935e+03 +1.272073935e+03 +1.317863935e+03 +1.317863935e+03 +4.2708e+00 -4.4274e+00 +1.7045e+00 -2.4012e+00 +2.3029e+00 -4.2104e-01 +9.8914e-01 -4.4545e+00 -1.5370e+00 -2.8180e+00 -2.3838e+00 +3.1034e+00 +1.4885e+00 +3.4280e+00 -2.9452e+00 +3.7135e+00 -3.0901e+00 +1.9786e+00 +4.3417e+00 -3.9013e+00
8 +8.072535931e+02 +8.072535931e+02 +8.530435931e+02 +8.530435931e+02 -3.4366e+00 -4.0967e+00 -4.7093e+00 -3.6111e+00 -1.7303e+00 +1.4023e+00 +1.7016e-01 -2.8000e+00 +2.4590e+00 -1.6256e+00 -2.8724e+00 +1.1514e+00 -2.7856e+00 -2.8786e+00 -3.4335e+00 -1.9607e+00 +1.7675e+00 -8.4332e-01 +2.1203e+00 +1.5267e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.279580238e+03 +1.279580238e+03 +2.795802376e+02 +2.795802376e+02 +3.9462e+00 +1.3416e+00 -2.0870e+00 +4.8580e+00 -2.2927e+00 -7.8696e-01 +2.4718e+00 +7.5444e-01 +1.8185e+00 -3.6909e+00 +4.8602e+00 +3.8930e+00 +1.5524e+00 +3.6215e+00 -1.9099e+00 +4.8473e+00 +3.2217e+00 +8.5716e-01 -4.9421e-01 -4.3243e+00
7 +7.788887836e+02 +7.788887836e+02 -2.211112164e+02 -2.211112164e+02 +2.2477e+00 +2.7940e+00 -4.8558e-01 +4.4670e+00 -2.7975e+00 -2.8165e+00 +2.1064e+00 +4.5379e+00 +1.3640e+00 +1.7514e+00 +1.0016e+00 +5.7012e-01 -2.8379e-01 -2.8835e+00 -3.6918e+00 -1.4239e-01 -3.2439e+00 +3.4365e+00 -6.3595e-01 +2.6911e+00
54 +6.225004172e+02 +6.225004172e+02 -3.774995828e+02 -3.774995828e+02 -2.9097e+00 -3.1052e-01 +3.9869e+00 +4.2767e-01 +2.5961e+00 -3.2922e+00 +3.5147e-01 -2.0536e+00 -1.1557e-01 +4.1948e+00 +9.3284e-01 -3.6536e+00 -8.1417e-01 -1.7981e+00 -2.9212e+00 -1.6920e+00 +5.6578e-01 +4.9498e-01 -8.4964e-01 -3.8562e+00
% function evaluation | noise-free fitness - Fopt (1.575000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.135882306e+03 +4.135882306e+03 +4.151632306e+03 +4.151632306e+03 -2.7781e+00 -4.1813e+00 -3.8721e+00 +3.5932e+00 +3.2496e+00 +1.0603e+00 +1.7077e+00 +3.5161e+00 +4.9051e+00 +9.3460e-01 +2.3209e+00 +3.9741e+00 +3.4818e+00 -5.6907e-02 -3.0015e+00 -1.1746e+00 +3.0041e+00 +3.0734e+00 -1.7275e+00 +4.7044e+00
2 +2.133899882e+03 +2.133899882e+03 +2.149649882e+03 +2.149649882e+03 +3.9868e-01 -1.7957e+00 +4.3963e+00 -7.9953e-01 -2.8939e+00 +3.5204e+00 -4.5182e+00 -2.7672e+00 -8.0290e-02 +1.1376e+00 +3.5041e+00 -1.1875e+00 -4.5767e-01 -2.1912e+00 -4.1931e-02 +2.9879e+00 -2.1760e+00 -4.4997e+00 -2.4744e+00 +5.0268e-01
18 +1.072687356e+03 +1.072687356e+03 +1.088437356e+03 +1.088437356e+03 +3.9341e-01 -1.1808e-01 +1.2033e+00 -4.3026e+00 +8.8588e-01 +1.2750e+00 -4.0705e+00 +4.9320e+00 +2.0122e+00 -1.7020e+00 -6.4082e-01 +4.3333e+00 -3.1341e+00 +3.4926e+00 +1.4533e+00 -3.6574e+00 -1.7879e+00 -4.3023e+00 +3.2743e+00 -1.8034e+00
26 +8.610045470e+02 +8.610045470e+02 +8.767545470e+02 +8.767545470e+02 -4.9234e+00 -3.1432e+00 +4.0854e+00 -2.8673e+00 +2.5539e+00 -2.5912e+00 -2.7846e+00 +4.2800e+00 +3.2148e+00 -1.7993e+00 -9.2717e-01 +8.2993e-01 -3.9549e+00 -3.3044e+00 -4.8394e+00 -3.8827e-01 -3.0632e+00 +1.1468e+00 -7.3417e-01 +4.7227e+00
